Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Fortaleza,Athlético-pr,1,6585,0,0,13466,0,0,-1
Coritiba,Internacional,1,5958,0,0,12204,0,0,-1
Sport,Ceará,1,7237,0,0,6751,0,0,1
Flamengo,Atlético-mg,1,15428,0,0,13096,0,0,-1
Santos,Bragantino,1,13944,0,0,4145,0,0,0
Grêmio,Fluminense,1,15160,0,0,9938,0,0,1
Atlético-mg,Corinthians,2,13096,3,1,13084,1,0,1
Athlético-pr,Goiás,2,13466,3,2,6703,0,-3,1
Bragantino,Botafogo-rj,2,4145,1,0,9640,0,-1,0
Bahia,Coritiba,2,10719,3,1,5958,0,-1,1
Atlético-go,Flamengo,2,5834,1,0,15428,0,-1,1
Fluminense,Palmeiras,2,9938,0,-1,16640,1,0,0
Ceará,Grêmio,2,6751,0,-1,15160,3,1,0
São paulo,Fortaleza,2,10526,3,3,6585,0,-2,1
Internacional,Santos,2,12204,3,1,13944,1,0,1
Vasco,Sport,2,9242,1,0,7237,3,1,1
Grêmio,Corinthians,3,15160,4,1,13084,1,-1,0
Coritiba,Flamengo,3,5958,0,-2,15428,0,-4,-1
Palmeiras,Goiás,3,16640,2,0,6703,0,-4,0
Atlético-mg,Ceará,3,13096,6,2,6751,1,-1,1
Vasco,São paulo,3,9242,4,2,10526,6,4,1
Bahia,Bragantino,3,10719,6,2,4145,2,0,1
Fluminense,Internacional,3,9938,1,-1,12204,6,3,1
Atlético-go,Sport,3,5834,4,3,7237,3,-1,0
Fortaleza,Botafogo-rj,3,6585,0,-3,9640,1,-1,0
Santos,Athlético-pr,3,13944,1,-2,13466,6,3,1
Flamengo,Grêmio,4,15428,3,-3,15160,5,1,0
Bragantino,Fluminense,4,4145,2,-1,9938,4,0,1
Athlético-pr,Palmeiras,4,13466,6,1,16640,3,0,-1
Internacional,Atlético-go,4,12204,6,2,5834,5,3,1
Goiás,Fortaleza,4,6703,1,-4,6585,1,-3,-1
Botafogo-rj,Atlético-mg,4,9640,2,-1,13096,9,4,1
Corinthians,Coritiba,4,13084,2,-1,5958,0,-3,1
Sport,Santos,4,7237,4,-1,13944,4,0,-1
São paulo,Bahia,4,10526,6,3,10719,9,3,0
Ceará,Vasco,4,6751,1,-3,9242,7,3,-1
Athlético-pr,Fluminense,5,13466,6,0,9938,4,-1,-1
Internacional,Atlético-mg,5,12204,9,5,13096,9,3,1
Goiás,Atlético-go,5,6703,1,-6,5834,5,0,1
Flamengo,Botafogo-rj,5,15428,4,-3,9640,5,0,0
Vasco,Grêmio,5,9242,10,6,15160,6,1,0
Palmeiras,Santos,5,16640,6,1,13944,7,1,1
Bragantino,Coritiba,5,4145,5,0,5958,0,-5,-1
Sport,São paulo,5,7237,4,-2,10526,7,3,-1
Ceará,Bahia,5,6751,1,-6,10719,10,3,1
Corinthians,Fortaleza,5,13084,5,1,6585,4,-1,0
São paulo,Athlético-pr,11,10526,18,4,13466,14,1,1
Botafogo-rj,Internacional,6,9640,6,0,12204,12,6,-1
Fluminense,Vasco,6,9938,7,0,9242,11,6,1
Bahia,Palmeiras,6,10719,10,1,16640,9,2,0
Fortaleza,Bragantino,6,6585,5,-1,4145,5,-1,1
São paulo,Corinthians,6,10526,10,4,13084,6,1,1
Santos,Flamengo,6,13944,7,0,15428,5,-3,-1
Coritiba,Sport,6,5958,3,-4,7237,4,-3,1
Atlético-go,Ceará,6,5834,5,-2,6751,4,-4,-1
Fluminense,Atlético-go,7,9938,10,1,5834,5,-4,0
Ceará,Fortaleza,7,6751,7,-2,6585,8,2,1
Goiás,Corinthians,7,6703,4,-5,13084,6,0,-1
Botafogo-rj,Coritiba,7,9640,6,-2,5958,6,-3,0
Bahia,Flamengo,7,10719,11,1,15428,8,-2,-1
Athlético-pr,Bragantino,7,13466,9,1,4145,5,-4,0
Palmeiras,Internacional,7,16640,10,2,12204,15,8,0
Santos,Vasco,7,13944,7,-1,9242,11,5,0
Grêmio,Sport,7,15160,10,2,7237,4,-4,-1
Atlético-mg,São paulo,7,13096,9,0,10526,13,5,1
Flamengo,Fortaleza,8,15428,11,0,6585,8,1,1
Corinthians,Botafogo-rj,8,13084,9,1,9640,7,-2,0
Ceará,Santos,8,6751,10,-1,13944,8,-1,-1
Bragantino,Palmeiras,8,4145,6,-4,16640,11,2,-1
São paulo,Fluminense,8,10526,13,2,9938,11,1,1
Internacional,Bahia,8,12204,16,8,10719,11,-1,0
Vasco,Athlético-pr,8,9242,12,5,13466,10,1,1
Atlético-go,Grêmio,8,5834,6,-4,15160,10,1,0
Sport,Goiás,8,7237,7,-3,6703,4,-6,1
Coritiba,Atlético-mg,8,5958,7,-3,13096,12,3,-1
Athlético-pr,Botafogo-rj,9,13466,10,0,9640,8,-2,0
Fortaleza,Sport,9,6585,8,0,7237,10,-2,1
Goiás,Coritiba,9,6703,4,-7,5958,7,-4,0
São paulo,Bragantino,9,10526,16,4,4145,6,-5,0
Fluminense,Flamengo,9,9938,11,-1,15428,14,1,-1
Santos,Atlético-mg,9,13944,11,0,13096,15,4,1
Corinthians,Palmeiras,9,13084,10,1,16640,14,3,-1
Internacional,Ceará,9,12204,17,8,6751,10,-2,1
Bahia,Grêmio,9,10719,12,-1,15160,11,1,-1
Vasco,Atlético-go,9,9242,15,6,5834,7,-4,-1
Athlético-pr,Coritiba,10,13466,11,0,5958,8,-4,1
Santos,São paulo,10,13944,14,2,10526,17,4,0
