Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
Atlético-go,Atlético-mg,11,5834,,,13096,,
Atlético-mg,Grêmio,12,13096,,,15160,,
Atlético-go,Botafogo-rj,12,5834,,,9640,,
Goiás,Santos,13,6703,,,13944,,
Atlético-mg,Vasco,13,13096,,,9242,,
Goiás,Fluminense,14,6703,,,9938,,
Atlético-mg,Goiás,15,13096,,,6703,,
Atlético-go,Bragantino,15,5834,,,4145,,
Grêmio,Santos,34,15160,,,13944,,
Bragantino,Atlético-go,34,4145,,,5834,,
Corinthians,Ceará,34,13084,,,6751,,
Bahia,Fluminense,34,10719,,,9938,,
Goiás,Atlético-mg,34,6703,,,13096,,
Fortaleza,Coritiba,34,6585,,,5958,,
Flamengo,Vasco,34,15428,,,9242,,
Athlético-pr,Internacional,34,13466,,,12204,,
Botafogo-rj,Sport,34,9640,,,7237,,
Bahia,Goiás,35,10719,,,6703,,
Atlético-go,Santos,35,5834,,,13944,,
Bragantino,Flamengo,35,4145,,,15428,,
Botafogo-rj,Grêmio,35,9640,,,15160,,
Internacional,Sport,35,12204,,,7237,,
Fortaleza,Vasco,35,6585,,,9242,,
São paulo,Ceará,35,10526,,,6751,,
Fluminense,Atlético-mg,35,9938,,,13096,,
Corinthians,Athlético-pr,35,13084,,,13466,,
Santos,Corinthians,33,13944,,,13084,,
Coritiba,Palmeiras,35,5958,,,16640,,
São paulo,Palmeiras,34,10526,,,16640,,
Goiás,Botafogo-rj,36,6703,,,9640,,
Santos,Coritiba,36,13944,,,5958,,
Atlético-mg,Bahia,36,13096,,,10719,,
Flamengo,Corinthians,36,15428,,,13084,,
Vasco,Internacional,36,9242,,,12204,,
Palmeiras,Fortaleza,36,16640,,,6585,,
Athlético-pr,Atlético-go,36,13466,,,5834,,
Grêmio,São paulo,36,15160,,,10526,,
Ceará,Fluminense,36,6751,,,9938,,
Sport,Bragantino,36,7237,,,4145,,
Coritiba,Ceará,37,5958,,,6751,,
Fortaleza,Bahia,37,6585,,,10719,,
Flamengo,Internacional,37,15428,,,12204,,
Corinthians,Vasco,37,13084,,,9242,,
Sport,Atlético-mg,37,7237,,,13096,,
Santos,Fluminense,37,13944,,,9938,,
Grêmio,Athlético-pr,37,15160,,,13466,,
Goiás,Bragantino,37,6703,,,4145,,
Palmeiras,Atlético-go,37,16640,,,5834,,
Botafogo-rj,São paulo,37,9640,,,10526,,
Fluminense,Fortaleza,38,9938,,,6585,,
Vasco,Goiás,38,9242,,,6703,,
São paulo,Flamengo,38,10526,,,15428,,
Bragantino,Grêmio,38,4145,,,15160,,
Atlético-mg,Palmeiras,38,13096,,,16640,,
Internacional,Corinthians,38,12204,,,13084,,
Bahia,Santos,38,10719,,,13944,,
Athlético-pr,Sport,38,13466,,,7237,,
Ceará,Botafogo-rj,38,6751,,,9640,,
Atlético-go,Coritiba,38,5834,,,5958,,
