,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
5279,Corinthians,Botafogo-rj,1,0,15624.0,0,0,10622,0,0
5280,Vitória,Internacional,1,0,9900,0,0,14360,0,0
5281,Vasco,Portuguesa,1,1.0,15030,0,0,7840,0,0
5282,Santos,Flamengo,1,0,13736,0,0,14352,0,0
5283,Coritiba,Atlético-mg,1,1,12804,0,0,11520,0,0
5284,Criciúma,Bahia,1,1,4370,0,0,9282,0,0
5285,Cruzeiro,Goiás,1,1,13096,0,0,9896,0,0
5286,Fluminense,Athlético-pr,1,1,16208,0,0,11078,0,0
5287,Grêmio,Náutico,1,1,14460,0,0,8036,0,0
5288,Ponte preta,São paulo,1,-1,7600,0,0,14786,0,0
5289,Goiás,Corinthians,2,0,9896,0,-5,15624,1,0
5290,Bahia,Coritiba,2,0,9282,0,-2,12804,3,1
5291,Athlético-pr,Cruzeiro,2,0,11078,0,-1,13096,3,5
5292,Botafogo-rj,Santos,2,1,10622,1,0,13736,1,0
5293,Flamengo,Ponte preta,2,-1,14352,1,0,7600,0,-2
5294,São paulo,Vasco,2,1,14786,3,2,15030,3,1
5295,Náutico,Vitória,2,-1,8036,0,-2,9900,1,0
5296,Internacional,Criciúma,2,1,14360,1,0,4370,3,2
5297,Goiás,Coritiba,3,0,9896,1,-5,12804,4,1
5298,Athlético-pr,Flamengo,3,0,11078,1,-1,14352,1,-2
5299,Santos,Grêmio,3,0,13736,1,-1,14460,3,0
5300,Botafogo-rj,Cruzeiro,3,1,10622,4,1,13096,4,5
5301,Corinthians,Ponte preta,3,1,15624,2,0,7600,3,0
5302,Vitória,Vasco,3,1,9900,4,3,15030,3,-3
5303,Náutico,Portuguesa,3,0,8036,0,-5,7840,3,0
5304,Atlético-mg,São paulo,3,0,11520,3,1,14786,6,6
5305,Internacional,Bahia,3,-1,14360,4,2,9282,1,-2
5306,Fluminense,Criciúma,3,1,16208,3,0,4370,3,0
5307,Portuguesa,Internacional,4,0,7840,4,0,14360,4,1
5308,Ponte preta,Athlético-pr,4,-1,7600,3,-1,11078,2,-1
5309,Bahia,Botafogo-rj,4,1,9282,4,-1,10622,7,2
5310,Criciúma,Santos,4,1,4370,3,-3,13736,2,-1
5311,Cruzeiro,Corinthians,4,1,13096,4,4,15624,5,1
5312,São paulo,Goiás,4,-1,14786,7,6,9896,2,-5
5313,Grêmio,Vitória,4,1,14460,4,0,9900,7,5
5314,Flamengo,Náutico,4,-1,14352,2,-2,8036,1,-5
5315,Vasco,Atlético-mg,4,1,15030,3,-5,11520,4,1
5316,Coritiba,Fluminense,4,1,12804,5,1,16208,6,3
5317,Vasco,Bahia,5,0,15030,6,-3,9282,7,0
5318,Cruzeiro,Internacional,5,0,13096,7,5,14360,5,1
5319,Corinthians,Portuguesa,5,0,15624,5,0,7840,5,0
5320,Ponte preta,Botafogo-rj,5,-1,7600,3,-2,10622,7,1
5321,Criciúma,Flamengo,5,-1,4370,6,-1,14352,2,-3
5322,Atlético-mg,Grêmio,2,1,11520,0,-1,14460,3,2
5323,Coritiba,Náutico,5,1,12804,8,2,8036,4,-4
5324,Fluminense,Goiás,5,1,16208,6,2,9896,5,-4
5325,Vitória,Athlético-pr,5,1,9900,7,4,11078,5,0
5326,Grêmio,São paulo,5,0,14460,7,1,14786,7,5
5327,Portuguesa,Fluminense,2,1,7840,0,-1,16208,3,1
5328,Santos,Atlético-mg,5,1,13736,2,-3,11520,4,-1
5329,Flamengo,Coritiba,6,0,14352,5,0,12804,11,3
5330,Portuguesa,Cruzeiro,6,0,7840,6,0,13096,8,5
5331,Athlético-pr,Grêmio,6,0,11078,5,-1,14460,8,1
5332,Náutico,Ponte preta,6,-1,8036,4,-5,7600,3,-4
5333,Atlético-mg,Criciúma,6,1,11520,4,-2,4370,6,-4
5334,Botafogo-rj,Fluminense,6,1,10622,10,3,16208,9,3
5335,Bahia,Corinthians,6,-1,9282,8,0,15624,6,0
5336,Goiás,Vitória,6,1,9896,5,-5,9900,10,5
5337,Internacional,Vasco,6,1,14360,6,1,15030,7,-3
5338,São paulo,Santos,6,-1,14786,8,5,13736,5,-2
5339,São paulo,Bahia,11,-1,14786,12,0,9282,16,2
5340,Ponte preta,Bahia,7,0,7600,6,-2,9282,8,-2
5341,Fluminense,Internacional,7,-1,16208,9,2,14360,9,3
5342,Santos,Portuguesa,7,1,13736,8,0,7840,7,0
5343,Criciúma,Goiás,7,0,4370,6,-5,9896,8,-4
5344,Corinthians,Atlético-mg,7,-1,15624,9,2,11520,7,-1
5345,Coritiba,Athlético-pr,7,1,12804,12,3,11078,6,-1
5346,Cruzeiro,Náutico,7,1,13096,9,5,8036,4,-7
5347,Vasco,Flamengo,7,-1,15030,7,-5,14352,6,0
5348,Grêmio,Botafogo-rj,7,1,14460,9,1,10622,13,4
5349,Vitória,São paulo,7,1,9900,10,4,14786,8,3
5350,Botafogo-rj,Náutico,8,1,10622,13,3,8036,4,-10
5351,Criciúma,Grêmio,8,1,4370,7,-5,14460,12,2
5352,São paulo,Cruzeiro,8,-1,14786,8,2,13096,12,8
5353,Vitória,Bahia,8,0,9900,13,5,9282,9,-2
